Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Champions Tour 2023: Pacific League,League Play,Week 5,ZETA DIVISION vs Talon Esports,Haven,ZETA DIVISION,8,4,4,,Talon Esports,13,5,8,,1:00:46
Champions Tour 2023: Pacific League,League Play,Week 5,ZETA DIVISION vs Talon Esports,Ascent,ZETA DIVISION,14,6,6,2,Talon Esports,16,6,6,4,1:14:59
Champions Tour 2023: Pacific League,League Play,Week 6,T1 vs DetonatioN FocusMe,Lotus,T1,13,7,6,,DetonatioN FocusMe,9,4,5,,1:09:01
Champions Tour 2023: Pacific League,League Play,Week 6,T1 vs DetonatioN FocusMe,Split,T1,9,5,4,,DetonatioN FocusMe,13,6,7,,57:49
Champions Tour 2023: Pacific League,League Play,Week 6,T1 vs DetonatioN FocusMe,Fracture,T1,13,6,7,,DetonatioN FocusMe,10,4,6,,
Champions Tour 2023: Pacific League,League Play,Week 6,ZETA DIVISION vs Team Secret,Split,ZETA DIVISION,13,8,5,,Team Secret,9,5,4,,1:05:11
Champions Tour 2023: Pacific League,League Play,Week 6,ZETA DIVISION vs Team Secret,Lotus,ZETA DIVISION,10,6,4,,Team Secret,13,7,6,,1:00:01
Champions Tour 2023: Pacific League,League Play,Week 6,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,13,7,6,,Team Secret,9,4,5,,
Champions Tour 2023: Pacific League,League Play,Week 6,Global Esports vs Gen.G,Pearl,Global Esports,13,5,8,,Gen.G,8,1,7,,56:36
Champions Tour 2023: Pacific League,League Play,Week 6,Global Esports vs Gen.G,Lotus,Global Esports,13,7,6,,Gen.G,8,3,5,,47:49
Champions Tour 2023: Pacific League,League Play,Week 6,Rex Regum Qeon vs DRX,Haven,Rex Regum Qeon,13,6,7,,DRX,8,2,6,,53:34
Champions Tour 2023: Pacific League,League Play,Week 6,Rex Regum Qeon vs DRX,Split,Rex Regum Qeon,10,6,4,,DRX,13,7,6,,54:47
Champions Tour 2023: Pacific League,League Play,Week 6,Rex Regum Qeon vs DRX,Pearl,Rex Regum Qeon,2,2,0,,DRX,13,3,10,,
Champions Tour 2023: Pacific League,League Play,Week 6,Talon Esports vs Paper Rex,Pearl,Talon Esports,13,4,9,,Paper Rex,11,3,8,,1:16:07
Champions Tour 2023: Pacific League,League Play,Week 6,Talon Esports vs Paper Rex,Split,Talon Esports,4,3,1,,Paper Rex,13,4,9,,37:31
Champions Tour 2023: Pacific League,League Play,Week 6,Talon Esports vs Paper Rex,Fracture,Talon Esports,10,6,4,,Paper Rex,13,7,6,,
Champions Tour 2023: Pacific League,League Play,Week 7,Talon Esports vs Gen.G,Fracture,Talon Esports,13,7,6,,Gen.G,8,3,5,,1:04:44
Champions Tour 2023: Pacific League,League Play,Week 7,Talon Esports vs Gen.G,Lotus,Talon Esports,13,7,6,,Gen.G,7,2,5,,49:09
Champions Tour 2023: Pacific League,League Play,Week 7,ZETA DIVISION vs Paper Rex,Split,ZETA DIVISION,6,5,1,,Paper Rex,13,6,7,,51:20
Champions Tour 2023: Pacific League,League Play,Week 7,ZETA DIVISION vs Paper Rex,Ascent,ZETA DIVISION,10,4,6,,Paper Rex,13,5,8,,52:40
Champions Tour 2023: Pacific League,League Play,Week 7,Rex Regum Qeon vs Global Esports,Fracture,Rex Regum Qeon,13,6,7,,Global Esports,10,4,6,,1:08:34
Champions Tour 2023: Pacific League,League Play,Week 7,Rex Regum Qeon vs Global Esports,Pearl,Rex Regum Qeon,13,8,5,,Global Esports,11,7,4,,56:52
Champions Tour 2023: Pacific League,League Play,Week 7,Team Secret vs T1,Lotus,Team Secret,4,2,2,,T1,13,3,10,,46:21
Champions Tour 2023: Pacific League,League Play,Week 7,Team Secret vs T1,Bind,Team Secret,8,5,3,,T1,13,6,7,,51:51
Champions Tour 2023: Pacific League,League Play,Week 7,DRX vs DetonatioN FocusMe,Fracture,DRX,13,5,8,,DetonatioN FocusMe,8,1,7,,1:03:37
Champions Tour 2023: Pacific League,League Play,Week 7,DRX vs DetonatioN FocusMe,Ascent,DRX,13,9,4,,DetonatioN FocusMe,4,1,3,,42:29
Champions Tour 2023: Pacific League,League Play,Week 8,Paper Rex vs Gen.G,Split,Paper Rex,13,9,4,,Gen.G,7,4,3,,48:45
Champions Tour 2023: Pacific League,League Play,Week 8,Paper Rex vs Gen.G,Ascent,Paper Rex,13,10,3,,Gen.G,2,0,2,,32:58
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs T1,Fracture,ZETA DIVISION,11,6,5,,T1,13,7,6,,57:43
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs T1,Lotus,ZETA DIVISION,13,3,10,,T1,10,1,9,,59:57
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs T1,Bind,ZETA DIVISION,3,3,0,,T1,13,4,9,,
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs DRX,Haven,Team Secret,13,8,5,,DRX,8,4,4,,1:01:37
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs DRX,Ascent,Team Secret,13,3,10,,DRX,11,2,9,,57:29
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,Lotus,Global Esports,13,8,5,,DetonatioN FocusMe,7,3,4,,55:32
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,Pearl,Global Esports,13,11,2,,DetonatioN FocusMe,6,5,1,,51:41
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Split,Talon Esports,13,9,4,,Rex Regum Qeon,3,0,3,,52:25
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Ascent,Talon Esports,4,3,1,,Rex Regum Qeon,13,4,9,,40:34
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Haven,Talon Esports,7,4,3,,Rex Regum Qeon,13,5,8,,
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Haven,ZETA DIVISION,13,8,5,,Gen.G,8,4,4,,54:29
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Ascent,ZETA DIVISION,4,3,1,,Gen.G,13,4,9,,40:31
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Fracture,ZETA DIVISION,13,8,5,,Gen.G,4,0,4,,
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Bind,T1,10,3,7,,DRX,13,4,9,,1:19:56
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Pearl,T1,9,3,6,,DRX,13,4,9,,58:06
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Haven,Team Secret,13,6,7,,Global Esports,9,3,6,,1:00:21
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Lotus,Team Secret,13,7,6,,Global Esports,10,5,5,,54:56
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Lotus,Talon Esports,13,6,7,,DetonatioN FocusMe,11,5,6,,1:10:57
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Bind,Talon Esports,13,10,3,,DetonatioN FocusMe,4,2,2,,40:33
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Bind,Rex Regum Qeon,9,5,4,,Paper Rex,13,6,7,,59:51
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Pearl,Rex Regum Qeon,11,4,7,,Paper Rex,13,5,8,,57:23
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,ZETA DIVISION vs Team Secret,Haven,ZETA DIVISION,13,3,9,1,Team Secret,15,3,9,3,-
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,ZETA DIVISION vs Team Secret,Ascent,ZETA DIVISION,12,5,7,0,Team Secret,14,5,7,2,-
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Fracture,T1,13,7,6,,Gen.G,8,3,5,,53:00
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Ascent,T1,11,8,3,,Gen.G,13,9,4,,54:32
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Lotus,T1,13,6,7,,Gen.G,7,1,6,,
Champions Tour 2023: Pacific League,Playoffs,Upper Semifinals,DRX vs Team Secret,Haven,DRX,9,4,5,,Team Secret,13,5,8,,1:06:10
Champions Tour 2023: Pacific League,Playoffs,Upper Semifinals,DRX vs Team Secret,Split,DRX,13,10,3,,Team Secret,5,3,2,,43:48
Champions Tour 2023: Pacific League,Playoffs,Upper Semifinals,DRX vs Team Secret,Bind,DRX,13,10,3,,Team Secret,4,2,2,,
Champions Tour 2023: Pacific League,Playoffs,Upper Semifinals,Paper Rex vs T1,Lotus,Paper Rex,13,6,7,,T1,10,4,6,,1:09:31
Champions Tour 2023: Pacific League,Playoffs,Upper Semifinals,Paper Rex vs T1,Fracture,Paper Rex,13,8,5,,T1,10,6,4,,48:03
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,Team Secret vs Gen.G,Ascent,Team Secret,13,6,7,,Gen.G,8,2,6,,1:05:01
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,Team Secret vs Gen.G,Haven,Team Secret,8,2,6,,Gen.G,13,3,10,,50:17
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,Team Secret vs Gen.G,Split,Team Secret,12,7,5,0,Gen.G,14,7,5,2,
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,T1 vs ZETA DIVISION,Haven,T1,13,8,5,,ZETA DIVISION,10,6,4,,56:05
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,T1 vs ZETA DIVISION,Bind,T1,12,5,7,0,ZETA DIVISION,14,5,7,2,59:50
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,T1 vs ZETA DIVISION,Fracture,T1,13,5,8,,ZETA DIVISION,10,3,7,,
Champions Tour 2023: Pacific League,Playoffs,Upper Final,DRX vs Paper Rex,Fracture,DRX,5,5,0,,Paper Rex,13,6,7,,51:35
Champions Tour 2023: Pacific League,Playoffs,Upper Final,DRX vs Paper Rex,Bind,DRX,6,4,2,,Paper Rex,13,5,8,,46:32
Champions Tour 2023: Pacific League,Playoffs,Lower Round 2,T1 vs Gen.G,Fracture,T1,13,5,8,,Gen.G,10,3,7,,59:32
Champions Tour 2023: Pacific League,Playoffs,Lower Round 2,T1 vs Gen.G,Ascent,T1,13,7,6,,Gen.G,10,5,5,,56:07
Champions Tour 2023: Pacific League,Playoffs,Lower Final,DRX vs T1,Ascent,DRX,11,9,2,,T1,13,10,3,,1:18:05
Champions Tour 2023: Pacific League,Playoffs,Lower Final,DRX vs T1,Fracture,DRX,13,4,9,,T1,11,3,8,,54:44
Champions Tour 2023: Pacific League,Playoffs,Lower Final,DRX vs T1,Haven,DRX,13,9,4,,T1,11,8,3,,56:27
Champions Tour 2023: Pacific League,Playoffs,Lower Final,DRX vs T1,Bind,DRX,6,4,2,,T1,13,5,8,,49:13
Champions Tour 2023: Pacific League,Playoffs,Lower Final,DRX vs T1,Pearl,DRX,13,8,5,,T1,9,5,4,,
Champions Tour 2023: Pacific League,Playoffs,Grand Final,Paper Rex vs DRX,Fracture,Paper Rex,6,3,3,,DRX,13,4,9,,1:03:44
Champions Tour 2023: Pacific League,Playoffs,Grand Final,Paper Rex vs DRX,Ascent,Paper Rex,14,6,6,2,DRX,16,6,6,4,1:09:21
Champions Tour 2023: Pacific League,Playoffs,Grand Final,Paper Rex vs DRX,Pearl,Paper Rex,13,8,5,,DRX,8,4,4,,51:33
Champions Tour 2023: Pacific League,Playoffs,Grand Final,Paper Rex vs DRX,Bind,Paper Rex,13,9,4,,DRX,6,3,3,,
Champions Tour 2023: Pacific League,Playoffs,Grand Final,Paper Rex vs DRX,Lotus,Paper Rex,13,9,4,,DRX,3,0,3,,36:49
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,KOI vs NRG Esports,Icebox,KOI,11,9,2,,NRG Esports,13,10,3,,1:12:59
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,KOI vs NRG Esports,Haven,KOI,9,4,5,,NRG Esports,13,5,8,,53:43
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,DetonatioN FocusMe vs Giants Gaming,Haven,DetonatioN FocusMe,4,4,0,,Giants Gaming,13,5,8,,50:48
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,DetonatioN FocusMe vs Giants Gaming,Icebox,DetonatioN FocusMe,7,4,3,,Giants Gaming,13,5,8,,51:43
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,FunPlus Phoenix vs Karmine Corp,Lotus,FunPlus Phoenix,6,4,2,,Karmine Corp,13,5,8,,55:34
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,FunPlus Phoenix vs Karmine Corp,Haven,FunPlus Phoenix,13,6,7,,Karmine Corp,8,2,6,,52:27
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,FunPlus Phoenix vs Karmine Corp,Pearl,FunPlus Phoenix,6,5,1,,Karmine Corp,13,6,7,,
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,BBL Esports vs DRX,Pearl,BBL Esports,3,3,0,,DRX,13,4,9,,55:04
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,BBL Esports vs DRX,Ascent,BBL Esports,13,4,9,,DRX,11,3,8,,51:09
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,BBL Esports vs DRX,Haven,BBL Esports,7,1,6,,DRX,13,2,11,,
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Cloud9 vs Paper Rex,Lotus,Cloud9,13,7,6,,Paper Rex,8,3,5,,52:12
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Cloud9 vs Paper Rex,Pearl,Cloud9,13,10,3,,Paper Rex,4,2,2,,39:51
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Team Heretics vs Evil Geniuses,Pearl,Team Heretics,8,6,2,,Evil Geniuses,13,7,6,,55:42
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Team Heretics vs Evil Geniuses,Ascent,Team Heretics,8,5,3,,Evil Geniuses,13,6,7,,48:09
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,MIBR vs Talon Esports,Haven,MIBR,8,4,4,,Talon Esports,13,5,8,,55:30
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,MIBR vs Talon Esports,Fracture,MIBR,11,5,6,,Talon Esports,13,6,7,,55:15
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Gen.G vs LOUD,Pearl,Gen.G,9,7,2,,LOUD,13,8,5,,1:00:51
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Round of 16,Gen.G vs LOUD,Fracture,Gen.G,12,4,8,0,LOUD,14,4,8,2,1:00:57
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,NRG Esports vs Giants Gaming,Lotus,NRG Esports,12,4,8,0,Giants Gaming,14,4,8,2,1:12:23
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,NRG Esports vs Giants Gaming,Haven,NRG Esports,13,11,2,,Giants Gaming,1,0,1,,36:08
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,NRG Esports vs Giants Gaming,Icebox,NRG Esports,13,9,4,,Giants Gaming,7,4,3,,
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,LOUD vs Karmine Corp,Pearl,LOUD,13,8,5,,Karmine Corp,10,6,4,,1:07:15
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,LOUD vs Karmine Corp,Split,LOUD,13,8,5,,Karmine Corp,8,4,4,,49:40
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,DRX vs Cloud9,Pearl,DRX,3,3,0,,Cloud9,13,4,9,,50:03
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,DRX vs Cloud9,Haven,DRX,13,9,4,,Cloud9,7,4,3,,46:02
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,DRX vs Cloud9,Icebox,DRX,13,11,2,,Cloud9,2,1,1,,
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Evil Geniuses vs Talon Esports,Haven,Evil Geniuses,11,9,2,,Talon Esports,13,10,3,,57:00
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Quarterfinals,Evil Geniuses vs Talon Esports,Split,Evil Geniuses,10,8,2,,Talon Esports,13,9,4,,51:55
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,NRG Esports vs LOUD,Split,NRG Esports,3,3,0,,LOUD,13,4,9,,46:42
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,NRG Esports vs LOUD,Pearl,NRG Esports,15,7,5,3,LOUD,13,7,5,1,1:05:45
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,NRG Esports vs LOUD,Fracture,NRG Esports,16,5,7,4,LOUD,18,5,7,6,
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,DRX vs Talon Esports,Fracture,DRX,10,4,6,,Talon Esports,13,5,8,,1:01:06
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,DRX vs Talon Esports,Ascent,DRX,13,6,7,,Talon Esports,6,0,6,,41:46
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Alpha - Semifinals,DRX vs Talon Esports,Icebox,DRX,13,7,6,,Talon Esports,10,5,5,,
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Team Liquid vs Team Secret,Icebox,Team Liquid,8,2,6,,Team Secret,13,3,10,,1:03:20
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Team Liquid vs Team Secret,Fracture,Team Liquid,7,3,4,,Team Secret,13,4,9,,42:43
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Natus Vincere vs KRÜ Esports,Ascent,Natus Vincere,13,9,4,,KRÜ Esports,5,2,3,,47:52
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Natus Vincere vs KRÜ Esports,Lotus,Natus Vincere,13,3,10,,KRÜ Esports,10,1,9,,49:57
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,ZETA DIVISION vs Leviatán,Ascent,ZETA DIVISION,4,2,2,,Leviatán,13,3,10,,47:44
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,ZETA DIVISION vs Leviatán,Pearl,ZETA DIVISION,11,6,5,,Leviatán,13,7,6,,58:25
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Team Vitality vs Global Esports,Split,Team Vitality,13,9,4,,Global Esports,4,1,3,,49:27
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Team Vitality vs Global Esports,Pearl,Team Vitality,9,7,2,,Global Esports,13,8,5,,47:56
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Team Vitality vs Global Esports,Lotus,Team Vitality,13,8,5,,Global Esports,6,2,4,,
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,FUT Esports vs Rex Regum Qeon,Lotus,FUT Esports,13,10,3,,Rex Regum Qeon,3,1,2,,43:44
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,FUT Esports vs Rex Regum Qeon,Pearl,FUT Esports,13,5,8,,Rex Regum Qeon,11,4,7,,55:17
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,100 Thieves vs EDward Gaming,Icebox,100 Thieves,13,8,5,,EDward Gaming,10,6,4,,1:01:35
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,100 Thieves vs EDward Gaming,Lotus,100 Thieves,9,7,2,,EDward Gaming,13,8,5,,53:09
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,100 Thieves vs EDward Gaming,Pearl,100 Thieves,14,5,7,2,EDward Gaming,12,5,7,0,
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Sentinels vs FNATIC,Haven,Sentinels,6,3,3,,FNATIC,13,4,9,,50:12
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,Sentinels vs FNATIC,Split,Sentinels,7,6,1,,FNATIC,13,7,6,,52:40
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,T1 vs FURIA,Pearl,T1,7,6,1,,FURIA,13,7,6,,54:20
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Round of 16,T1 vs FURIA,Icebox,T1,5,5,0,,FURIA,13,6,7,,-
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,Team Secret vs Natus Vincere,Icebox,Team Secret,8,6,2,,Natus Vincere,13,7,6,,1:07:49
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,Team Secret vs Natus Vincere,Pearl,Team Secret,4,3,1,,Natus Vincere,13,4,9,,40:25
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,Leviatán vs Team Vitality,Haven,Leviatán,16,5,7,4,Team Vitality,14,5,7,2,1:18:09
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,Leviatán vs Team Vitality,Pearl,Leviatán,13,10,3,,Team Vitality,3,1,2,,37:21
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,FUT Esports vs 100 Thieves,Lotus,FUT Esports,13,5,8,,100 Thieves,9,2,7,,1:02:18
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,FUT Esports vs 100 Thieves,Haven,FUT Esports,11,5,6,,100 Thieves,13,6,7,,51:19
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,FUT Esports vs 100 Thieves,Icebox,FUT Esports,8,4,4,,100 Thieves,13,5,8,,
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,FNATIC vs FURIA,Haven,FNATIC,18,8,4,6,FURIA,16,8,4,4,1:27:17
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Quarterfinals,FNATIC vs FURIA,Ascent,FNATIC,13,8,5,,FURIA,9,5,4,,1:00:24
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Semifinals,Natus Vincere vs Leviatán,Ascent,Natus Vincere,13,6,7,,Leviatán,10,4,6,,1:02:45
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Semifinals,Natus Vincere vs Leviatán,Fracture,Natus Vincere,13,11,2,,Leviatán,2,1,1,,36:48
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Semifinals,100 Thieves vs FNATIC,Fracture,100 Thieves,1,1,0,,FNATIC,13,2,11,,38:29
Champions Tour 2023: Lock-In Sao Paulo,Bracket Stage,Omega - Semifinals,100 Thieves vs FNATIC,Icebox,100 Thieves,10,2,8,,FNATIC,13,3,10,,53:46
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,LOUD vs DRX,Pearl,LOUD,13,9,4,,DRX,5,2,3,,51:15
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,LOUD vs DRX,Icebox,LOUD,13,9,4,,DRX,8,5,3,,44:32
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,LOUD vs DRX,Split,LOUD,7,3,4,,DRX,13,4,9,,46:22
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,LOUD vs DRX,Fracture,LOUD,7,6,1,,DRX,13,7,6,,43:40
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,LOUD vs DRX,Ascent,LOUD,13,7,6,,DRX,8,3,5,,
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,Natus Vincere vs FNATIC,Haven,Natus Vincere,11,5,6,,FNATIC,13,6,7,,1:05:49
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,Natus Vincere vs FNATIC,Lotus,Natus Vincere,4,2,2,,FNATIC,13,3,10,,48:57
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Semifinals,Natus Vincere vs FNATIC,Fracture,Natus Vincere,11,6,5,,FNATIC,13,7,6,,1:02:26
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Grand Final,LOUD vs FNATIC,Ascent,LOUD,8,4,4,,FNATIC,13,5,8,,1:02:57
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Grand Final,LOUD vs FNATIC,Fracture,LOUD,7,6,1,,FNATIC,13,7,6,,47:15
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Grand Final,LOUD vs FNATIC,Split,LOUD,13,7,6,,FNATIC,9,4,5,,51:34
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Grand Final,LOUD vs FNATIC,Lotus,LOUD,13,7,6,,FNATIC,8,3,5,,52:04
Champions Tour 2023: Lock-In Sao Paulo,Playoffs,Grand Final,LOUD vs FNATIC,Icebox,LOUD,12,9,3,0,FNATIC,14,9,3,2,
